Versuchsreihe	Name Probe	Sonotrode	Amplitude	Schweißzeit	Schweißkraft	Verbund	Zugscherkraft
Name	Name		µm	ms	N	ja/nein	N
2505001	N19 2505001	T 2022 PG-ZM4	55	3500	300	ja	113.6340942
2505001	N44 2505001	T 2022 PG-ZM4	55	3000	240	ja	1219.48999
2505001	N23 2505001	T 2022 PG-ZM4	55	2500	300	ja	526.1918335
2505001	N11 2505001	T 2022 PG-ZM4	55	2500	240	ja	1128.766968
2505001	N21 2505001	T 2022 PG-ZM4	55	2500	240	ja	508.4019165
2505001	N32 2505001	T 2022 PG-ZM4	55	2500	270	ja	549.55896
2505001	N42 2505001	T 2022 PG-ZM4	55	2500	270	ja	970.6981201
2505001	N14 2505001	T 2022 PG-ZM4	55	3000	240	ja	1181.559326
2505001	N4 2505001	T 2022 PG-ZM4	55	3000	240	ja	1003.459229
2505001	N6 2505001	T 2022 PG-ZM4	55	3000	300	ja	1313.600708
2505001	N22 2505001	T 2022 PG-ZM4	55	2500	270	ja	1529.031738
2505001	N36 2505001	T 2022 PG-ZM4	55	3000	300	ja	579.0004883
2505001	N24 2505001	T 2022 PG-ZM4	55	3000	240	ja	910.5183716
2505001	N5 2505001	T 2022 PG-ZM4	55	3000	270	ja	861.0889282
2505001	N12 2505001	T 2022 PG-ZM4	55	2500	270	ja	1052.162598
2505001	N45 2505001	T 2022 PG-ZM4	55	3000	270	ja	1284.774048
2505001	N47 2505001	T 2022 PG-ZM4	55	3500	240	ja	1744.981079
2505001	N10 2505001	T 2022 PG-ZM4	55	3000	270	ja	1888.850098
2505001	N26 2505001	T 2022 PG-ZM4	55	3000	300	ja	237.586441
2505001	N27 2505001	T 2022 PG-ZM4	55	3500	240	ja	1624.060791
2505001	N18 2505001	T 2022 PG-ZM4	55	3500	270	ja	1269.592407
2505001	N9 2505001	T 2022 PG-ZM4	55	3500	300	ja	489.9931946
2505001	N15 2505001	T 2022 PG-ZM4	55	3000	270	ja	1354.147461
