Versuchsreihe	Name Probe	Sonotrode	Amplitude	Schweißzeit	Schweißkraft	Verbund	Zugscherkraft
Name	Name	Name	µm	ms	N	ja/nein	N
2308010	N1	T 2022 PF-ZM4	22	2000	150	Ja	514
2308010	N2	T 2022 PF-ZM4	22	2000	180	Ja	581
2308010	N3	T 2022 PF-ZM4	22	4000	150	Ja	456
2308010	N4	T 2022 PF-ZM4	22	4000	180	Ja	468
2308010	N5	T 2022 PF-ZM4	22	6000	150	Ja	429
2308010	N11	T 2022 PF-ZM4	27.5	6000	150	Ja	514
2308010	N7	T 2022 PF-ZM4	27.5	2000	150	Ja	377
2308010	N8	T 2022 PF-ZM4	27.5	2000	180	Ja	268
2308010	N9	T 2022 PF-ZM4	27.5	4000	150	Ja	502
2308010	N10	T 2022 PF-ZM4	27.5	4000	180	Ja	382
2308010	N17	T 2022 PF-ZM4	33	6000	150	Ja	414
2308010	N23	T 2022 PF-ZM4	38.5	6000	150	Ja	845
2308010	N13	T 2022 PF-ZM4	33	2000	150	Ja	509
2308010	N14	T 2022 PF-ZM4	33	2000	180	Ja	360
2308010	N15	T 2022 PF-ZM4	33	4000	150	Ja	576
2308010	N16	T 2022 PF-ZM4	33	4000	180	Ja	653
2308010	N29	T 2022 PF-ZM4	44	6000	150	Ja	762
2308010	N35	T 2022 PF-ZM4	49.5	6000	150	Ja	839
2308010	N19	T 2022 PF-ZM4	38.5	2000	150	Ja	368
2308010	N20	T 2022 PF-ZM4	38.5	2000	180	Ja	518
2308010	N21	T 2022 PF-ZM4	38.5	4000	150	Ja	821
2308010	N22	T 2022 PF-ZM4	38.5	4000	180	Ja	683
2308010	N41	T 2022 PF-ZM4	55	6000	150	Ja	982
2308011	N7	T 2022 PF-ZM4	49.5	6000	150	Ja	771
2308010	N25	T 2022 PF-ZM4	44	2000	150	Ja	208
2308010	N26	T 2022 PF-ZM4	44	2000	180	Ja	593
2308010	N27	T 2022 PF-ZM4	44	4000	150	Ja	805
2308010	N28	T 2022 PF-ZM4	44	4000	180	Ja	714
2308011	N8	T 2022 PF-ZM4	49.5	6000	150	Ja	819
2308012	N7	T 2022 PF-ZM4	55	6000	150	Ja	888
2308010	N31	T 2022 PF-ZM4	49.5	2000	150	Ja	656
2308010	N32	T 2022 PF-ZM4	49.5	2000	180	Ja	931
2308010	N33	T 2022 PF-ZM4	49.5	4000	150	Ja	816
2308010	N34	T 2022 PF-ZM4	49.5	4000	180	Ja	878
2308012	N8	T 2022 PF-ZM4	55	6000	150	Ja	769
2308013	N1	T 2022 PF-ZM4	55	6000	160	Ja	813
2308010	N37	T 2022 PF-ZM4	55	2000	150	Ja	609
2308010	N38	T 2022 PF-ZM4	55	2000	180	Ja	779
2308010	N39	T 2022 PF-ZM4	55	4000	150	Ja	903
2308010	N40	T 2022 PF-ZM4	55	4000	180	Ja	810
2308013	N2	T 2022 PF-ZM4	55	6000	160	Ja	839
2308013	N3	T 2022 PF-ZM4	55	6000	160	Ja	935
2308011	N1	T 2022 PF-ZM4	49.5	4500	150	Ja	633
2308011	N2	T 2022 PF-ZM4	49.5	4500	150	Ja	1010
2308011	N3	T 2022 PF-ZM4	49.5	5000	150	Ja	870
2308011	N4	T 2022 PF-ZM4	49.5	5000	150	Ja	805
2308011	N5	T 2022 PF-ZM4	49.5	5500	150	Ja	922
2308011	N6	T 2022 PF-ZM4	49.5	5500	150	Ja	802
2308013	N4	T 2022 PF-ZM4	55	6000	170	Ja	881
2308013	N5	T 2022 PF-ZM4	55	6000	170	Ja	782
2308011	N9	T 2022 PF-ZM4	49.5	6500	150	Ja	863
2308011	N10	T 2022 PF-ZM4	49.5	6500	150	Ja	844
2308011	N11	T 2022 PF-ZM4	49.5	7000	150	Ja	855
2308011	N12	T 2022 PF-ZM4	49.5	7000	150	Ja	721
2308011	N13	T 2022 PF-ZM4	49.5	7500	150	Ja	836
2308011	N14	T 2022 PF-ZM4	49.5	7500	150	Ja	313
2308011	N15	T 2022 PF-ZM4	49.5	8000	150	Ja	868
2308011	N16	T 2022 PF-ZM4	49.5	8000	150	Ja	873
2308011	N17	T 2022 PF-ZM4	49.5	8500	150	Ja	852
2308011	N18	T 2022 PF-ZM4	49.5	8500	150	Ja	734
2308011	N19	T 2022 PF-ZM4	49.5	9000	150	Ja	665
2308011	N20	T 2022 PF-ZM4	49.5	9000	150	Ja	952
2308011	N21	T 2022 PF-ZM4	49.5	9500	150	Ja	791
2308011	N22	T 2022 PF-ZM4	49.5	9500	150	Ja	888
2308011	N23	T 2022 PF-ZM4	49.5	10000	150	Ja	854
2308011	N24	T 2022 PF-ZM4	49.5	10000	150	Ja	996
2308012	N1	T 2022 PF-ZM4	55	4500	150	Ja	791
2308012	N2	T 2022 PF-ZM4	55	4500	150	Ja	892
2308012	N3	T 2022 PF-ZM4	55	5000	150	Ja	807
2308012	N4	T 2022 PF-ZM4	55	5000	150	Ja	511
2308012	N5	T 2022 PF-ZM4	55	5500	150	Ja	780
2308012	N6	T 2022 PF-ZM4	55	5500	150	Ja	852
2308013	N6	T 2022 PF-ZM4	55	6000	170	Ja	869
2308010	N6	T 2022 PF-ZM4	22	6000	180	Ja	286
2308012	N9	T 2022 PF-ZM4	55	6500	150	Ja	707
2308012	N10	T 2022 PF-ZM4	55	6500	150	Ja	628
2308012	N11	T 2022 PF-ZM4	55	7000	150	Ja	927
2308012	N12	T 2022 PF-ZM4	55	7000	150	Ja	909
2308012	N13	T 2022 PF-ZM4	55	7500	150	Ja	896
2308012	N14	T 2022 PF-ZM4	55	7500	150	Ja	897
2308012	N15	T 2022 PF-ZM4	55	8000	150	Ja	923
2308012	N16	T 2022 PF-ZM4	55	8000	150	Ja	890
2308012	N17	T 2022 PF-ZM4	55	8500	150	Ja	874
2308012	N18	T 2022 PF-ZM4	55	8500	150	Ja	832
2308012	N19	T 2022 PF-ZM4	55	9000	150	Ja	836
2308012	N20	T 2022 PF-ZM4	55	9000	150	Ja	796
2308012	N21	T 2022 PF-ZM4	55	9500	150	Ja	954
2308012	N22	T 2022 PF-ZM4	55	9500	150	Ja	840
2308012	N23	T 2022 PF-ZM4	55	10000	150	Ja	887
2308012	N24	T 2022 PF-ZM4	55	10000	150	Ja	877
2308010	N12	T 2022 PF-ZM4	27.5	6000	180	Ja	605
2308010	N18	T 2022 PF-ZM4	33	6000	180	Ja	736
2308010	N24	T 2022 PF-ZM4	38.5	6000	180	Ja	638
2308010	N30	T 2022 PF-ZM4	44	6000	180	Ja	848
2308010	N36	T 2022 PF-ZM4	49.5	6000	180	Ja	896
2308010	N42	T 2022 PF-ZM4	55	6000	180	Ja	1030
2308013	N7	T 2022 PF-ZM4	55	6000	180	Ja	849
2308013	N8	T 2022 PF-ZM4	55	6000	180	Ja	862
2308013	N9	T 2022 PF-ZM4	55	6000	180	Ja	846
2308013	N10	T 2022 PF-ZM4	55	6000	190	Ja	914
2308013	N11	T 2022 PF-ZM4	55	6000	190	Ja	905
2308013	N12	T 2022 PF-ZM4	55	6000	190	Ja	811
2308013	N13	T 2022 PF-ZM4	55	6000	200	Ja	912
2308013	N14	T 2022 PF-ZM4	55	6000	200	Ja	884
2308013	N15	T 2022 PF-ZM4	55	6000	200	Ja	883
2308013	N16	T 2022 PF-ZM4	55	6000	210	Ja	908
2308013	N17	T 2022 PF-ZM4	55	6000	210	Ja	931
2308013	N18	T 2022 PF-ZM4	55	6000	210	Ja	953
2308013	N19	T 2022 PF-ZM4	55	6000	220	Ja	903
2308013	N20	T 2022 PF-ZM4	55	6000	220	Ja	1000
2308013	N21	T 2022 PF-ZM4	55	6000	220	Ja	946
2308013	N22	T 2022 PF-ZM4	55	6000	230	Ja	944
2308013	N23	T 2022 PF-ZM4	55	6000	230	Ja	963
2308013	N24	T 2022 PF-ZM4	55	6000	230	Ja	1070
2308013	N25	T 2022 PF-ZM4	55	6000	240	Ja	1080
2308013	N26	T 2022 PF-ZM4	55	6000	240	Ja	1090
2308013	N27	T 2022 PF-ZM4	55	6000	240	Ja	1060
2308014	N1	T 2022 PF-ZM4	55	6000	240	Ja	884
2308014	N2	T 2022 PF-ZM4	55	6000	240	Ja	1090
2308014	N3	T 2022 PF-ZM4	55	6000	240	Ja	696
2308014	N4	T 2022 PF-ZM4	44	6000	240	Ja	893
2308014	N5	T 2022 PF-ZM4	44	6000	240	Ja	706
2308014	N6	T 2022 PF-ZM4	44	6000	240	Ja	744
2308014	N7	T 2022 PF-ZM4	33	6000	240	Ja	670
2308014	N8	T 2022 PF-ZM4	33	6000	240	Ja	653
2308014	N9	T 2022 PF-ZM4	33	6000	240	Ja	676
2308014	N10	T 2022 PF-ZM4	22	6000	240	Ja	341
2308014	N11	T 2022 PF-ZM4	22	6000	240	Ja	140
2308014	N12	T 2022 PF-ZM4	22	6000	240	Ja	371
2308014	N13	T 2022 PF-ZM4	11	6000	240	Ja	180
2308014	N14	T 2022 PF-ZM4	11	6000	240	Ja	376
2308014	N15	T 2022 PF-ZM4	11	6000	240	Ja	237
2308015	N1	T 2022 PF-ZM4	44	6000	240	Ja	828
2308015	N2	T 2022 PF-ZM4	44	6000	240	Ja	551
2308015	N3	T 2022 PF-ZM4	33	6000	240	Ja	314
2308015	N4	T 2022 PF-ZM4	33	6000	240	Ja	817
2308015	N5	T 2022 PF-ZM4	22	6000	240	Ja	489
2308015	N6	T 2022 PF-ZM4	22	6000	240	Ja	387
2308015	N7	T 2022 PF-ZM4	11	6000	240	Ja	309
2308015	N8	T 2022 PF-ZM4	11	6000	240	Ja	72
2308013	N28	T 2022 PF-ZM4	55	6000	260	Ja	886
2308013	N29	T 2022 PF-ZM4	55	6000	260	Ja	1010
2308013	N30	T 2022 PF-ZM4	55	6000	260	Ja	944
2308013	N31	T 2022 PF-ZM4	55	6000	280	Ja	1090
2308013	N32	T 2022 PF-ZM4	55	6000	280	Ja	942
2308013	N33	T 2022 PF-ZM4	55	6000	280	Ja	665
2308013	N34	T 2022 PF-ZM4	55	6000	300	Ja	982
2308013	N35	T 2022 PF-ZM4	55	6000	300	Ja	901
2308013	N36	T 2022 PF-ZM4	55	6000	300	Ja	1100
2308013	N37	T 2022 PF-ZM4	55	6000	320	Ja	945
2308013	N38	T 2022 PF-ZM4	55	6000	320	Ja	1030
2308013	N39	T 2022 PF-ZM4	55	6000	320	Ja	502
2308013	N40	T 2022 PF-ZM4	55	6000	340	Ja	995
2308013	N41	T 2022 PF-ZM4	55	6000	340	Ja	887
2308013	N42	T 2022 PF-ZM4	55	6000	340	Ja	786
2308016	N19	T 2022 PF-ZM4	49.5	10000	150	Ja	918
2308016	N20	T 2022 PF-ZM4	49.5	10000	150	Ja	765
2308016	N21	T 2022 PF-ZM4	49.5	10000	150	Ja	915

