Versuchsreihe	Name Probe	Sonotrode	Amplitude	Schweißzeit	Schweißkraft	Verbund	Zugscherkraft
2306012	N2	T 2022-PG-ZM4	44	3500	220	nein	0
2306012	N4	T 2022-PG-ZM4	46.75	2500	220	nein	0
2306012	N5	T 2022-PG-ZM4	46.75	3500	220	nein	0
2306012	N6	T 2022-PG-ZM4	46.75	4500	220	ja	1312
2306012	N7	T 2022-PG-ZM4	49.5	2500	220	nein	0
2306012	N8	T 2022-PG-ZM4	49.5	3500	220	nein	0
2306012	N9	T 2022-PG-ZM4	49.5	4500	220	nein	0
2306012	N10	T 2022-PG-ZM4	44	2500	280	ja	403
2306012	N11	T 2022-PG-ZM4	44	3500	280	nein	0
2306012	N12	T 2022-PG-ZM4	44	4500	280	ja	314
2306012	N14	T 2022-PG-ZM4	46.75	3500	280	nein	0
2306012	N15	T 2022-PG-ZM4	46.75	4500	280	ja	345
2306012	N16	T 2022-PG-ZM4	49.5	2500	280	nein	0
2306012	N17	T 2022-PG-ZM4	49.5	3500	280	nein	0
2306012	N18	T 2022-PG-ZM4	49.5	4500	280	nein	0
2306012	N19	T 2022-PG-ZM4	46.75	3500	250	nein	0
2306012	N20	T 2022-PG-ZM4	46.75	3500	250	nein	0
2306012	N21	T 2022-PG-ZM4	46.75	3500	250	ja	1459
2307004	N1	T 2022-PG-ZM4	45.1	3500	250	ja	714
2307004	N2	T 2022-PG-ZM4	44	3500	250	ja	175
2307004	N3	T 2022-PG-ZM4	46.75	3500	250	nein	0
2307004	N4	T 2022-PG-ZM4	41.25	3000	240	nein	0
2307004	N5	T 2022-PG-ZM4	41.25	2800	240	nein	0
2307004	N6	T 2022-PG-ZM4	41.25	3200	240	nein	0
2307004	N7	T 2022-PG-ZM4	45.1	4500	200	nein	0
2307004	N9	T 2022-PG-ZM4	45.1	4500	220	ja	562
2307007	N1	T 2022-PG-ZM4	45.1	3500	250	nein	0
2307007	N2	T 2022-PG-ZM4	46.75	3500	250	nein	0
2307007	N3	T 2022-PG-ZM4	47.85	3500	250	ja	702
2307007	N4	T 2022-PG-ZM4	45.1	3500	260	nein	0
2307007	N5	T 2022-PG-ZM4	46.75	3500	260	nein	0
2307007	N6	T 2022-PG-ZM4	47.85	3500	250	nein	0
2307007	N7	T 2022-PG-ZM4	45.1	3700	250	nein	0
2307007	N8	T 2022-PG-ZM4	46.75	3700	250	nein	0
2307007	N9	T 2022-PG-ZM4	47.85	3700	250	nein	0
2307007	N10	T 2022-PG-ZM4	45.1	3700	260	ja	415
2307007	N11	T 2022-PG-ZM4	46.75	3700	260	ja	233
2307007	N12	T 2022-PG-ZM4	47.85	3700	260	nein	0
2307007	N13	T 2022-PG-ZM4	49.5	3500	210	ja	88.1
2307007	N14	T 2022-PG-ZM4	49.5	2200	280	ja	166
2307007	N15	T 2022-PG-ZM4	48.4	3800	210	nein	0
2307007	N16	T 2022-PG-ZM4	48.4	2500	280	ja	192
2307007	N17	T 2022-PG-ZM4	49.5	3700	210	nein	0
2307007	N18	T 2022-PG-ZM4	48.4	2600	270	nein	0
2307007	N19	T 2022-PG-ZM4	45.1	3800	260	nein	0
2307007	N20	T 2022-PG-ZM4	46.75	3800	260	nein	0
2307007	N21	T 2022-PG-ZM4	42.9	2200	280	ja	0
2307007	N22	T 2022-PG-ZM4	44	2400	270	nein	0
2307007	N23	T 2022-PG-ZM4	42.9	2200	300	ja	108
2307007	N24	T 2022-PG-ZM4	44	2200	280	ja	198
2307007	N25	T 2022-PG-ZM4	42.9	2400	280	ja	273
2307007	N26	T 2022-PG-ZM4	44	2400	280	ja	0
2307007	N27	T 2022-PG-ZM4	42.9	2400	300	ja	273
2307007	N28	T 2022-PG-ZM4	44	2400	300	nein	0
110723	N1	T 2022-PG-ZM4	27.5	5000	400	ja	901
110723	N2	T 2022-PG-ZM4	33	5000	400	ja	1510
110723	N3	T 2022-PG-ZM4	38.5	4500	400	ja	1660
110723	N4	T 2022-PG-ZM4	55	2500	250	nein	0
110723	N5	T 2022-PG-ZM4	55	2100	210	nein	0
110723	N6	T 2022-PG-ZM4	27.5	4000	300	ja	1140
110723	N7	T 2022-PG-ZM4	33	4000	300	nein	0
110723	N8	T 2022-PG-ZM4	38.5	3800	270	ja	1440
110723	N9	T 2022-PG-ZM4	27.5	4500	350	ja	1060
110723	N10	T 2022-PG-ZM4	38.5	3200	360	ja	1380
110723	N11	T 2022-PG-ZM4	55	2100	230	ja	411
110723	N12	T 2022-PG-ZM4	33	3500	300	nein	0
110723	N13	T 2022-PG-ZM4	33	4500	400	ja	1130
110723	N14	T 2022-PG-ZM4	27.5	4500	400	ja	1790
110723	N15	T 2022-PG-ZM4	38.5	4400	380	nein	0
110723	N16	T 2022-PG-ZM4	27.5	5000	360	nein	0
110723	N17	T 2022-PG-ZM4	27.5	4800	380	ja	1810
110723	N18	T 2022-PG-ZM4	38.5	4000	250	ja	216
110723	N19	T 2022-PG-ZM4	27.5	4200	400	ja	2040
110723	N20	T 2022-PG-ZM4	33	3800	320	nein	0
110723	N21	T 2022-PG-ZM4	33	3800	280	nein	0
110723	N22	T 2022-PG-ZM4	38.5	4200	250	nein	0
110723	N23	T 2022-PG-ZM4	27.5	4000	400	ja	398
110723	N24	T 2022-PG-ZM4	27.5	5000	370	ja	1750
110723	N25	T 2022-PG-ZM4	33	4000	290	nein	0
110723	N26	T 2022-PG-ZM4	33	4300	300	ja	129
110723	N27	T 2022-PG-ZM4	38.5	3900	260	nein	0
110723	N28	T 2022-PG-ZM4	27.5	4400	400	nein	0
110723	N29	T 2022-PG-ZM4	33	4100	310	nein	0
110723	N30	T 2022-PG-ZM4	38.5	3000	320	nein	0
110723	N31	T 2022-PG-ZM4	33	4400	300	nein	0
110723	N32	T 2022-PG-ZM4	27.5	4100	400	ja	492
110723	N33	T 2022-PG-ZM4	38.5	3000	330	nein	0
110723	N34	T 2022-PG-ZM4	27.5	5000	390	ja	837
110723	N35	T 2022-PG-ZM4	33	4600	340	ja	188
110723	N36	T 2022-PG-ZM4	38.5	2800	380	ja	1630
110723	N37	T 2022-PG-ZM4	38.5	2700	370	nein	0
110723	N38	T 2022-PG-ZM4	33	4299	360	ja	1220
110723	N39	T 2022-PG-ZM4	33	3200	380	ja	171
110723	N40	T 2022-PG-ZM4	38.5	3400	350	nein	0
130723	N1a	T 2022-PG-ZM4	27.5	4600	400	ja	1080
130723	N2a	T 2022-PG-ZM4	27.5	4200	400	ja	1800
130723	N3a	T 2022-PG-ZM4	27.5	4400	400	ja	1560
130723	N4a	T 2022-PG-ZM4	27.5	4000	400	ja	942
130723	N5a	T 2022-PG-ZM4	27.5	4600	400	ja	1460
130723	N6a	T 2022-PG-ZM4	27.5	4400	400	ja	1160
130723	N7a	T 2022-PG-ZM4	27.5	4200	400	ja	1300
130723	N8a	T 2022-PG-ZM4	27.5	4600	400	ja	1030
130723	N9a	T 2022-PG-ZM4	27.5	4000	400	ja	920
130723	N10a	T 2022-PG-ZM4	27.5	4400	400	ja	1480
130723	N11a	T 2022-PG-ZM4	38.5	2800	380	nein	0
130723	N12a	T 2022-PG-ZM4	38.5	3200	360	nein	0
130723	N13a	T 2022-PG-ZM4	38.5	3800	270	nein	0
2307007	N1a	T 2022-PG-ZM4	27.5	4000	400	ja	1860
2307007	N2a	T 2022-PG-ZM4	27.5	4000	400	ja	1870
2307007	N3a	T 2022-PG-ZM4	27.5	4200	400	ja	1680
2307007	N4a	T 2022-PG-ZM4	27.5	4200	400	ja	1860
2307007	N5a	T 2022-PG-ZM4	27.5	4400	400	ja	1810
2307007	N6a	T 2022-PG-ZM4	27.5	4400	400	ja	1890
2307007	N7a	T 2022-PG-ZM4	27.5	4600	400	ja	1930
2307007	N8a	T 2022-PG-ZM4	27.5	4600	400	ja	1740
2307007	N9a	T 2022-PG-ZM4	27.5	4800	400	ja	1700
2307007	N10a	T 2022-PG-ZM4	27.5	4800	400	ja	1910
2307007	N11a	T 2022-PG-ZM4	27.5	4800	400	ja	1850
2307007	N12a	T 2022-PG-ZM4	27.5	4800	400	ja	1940
2307007	N13a	T 2022-PG-ZM4	27.5	5000	400	ja	1780
2307007	N14a	T 2022-PG-ZM4	27.5	5000	400	ja	1840
2307007	N15a	T 2022-PG-ZM4	27.5	5000	400	ja	1690
2307007	N16a	T 2022-PG-ZM4	27.5	5400	400	ja	1390
2307007	N17a	T 2022-PG-ZM4	27.5	5400	400	ja	1610
2307007	N18a	T 2022-PG-ZM4	27.5	5400	400	ja	1350
2307007	N19a	T 2022-PG-ZM4	27.5	5400	400	ja	1540
2307007	N20a	T 2022-PG-ZM4	27.5	5400	400	ja	167
2307007	N21a	T 2022-PG-ZM4	27.5	3600	400	ja	1670
2307007	N22a	T 2022-PG-ZM4	27.5	3600	400	ja	311
2307007	N23a	T 2022-PG-ZM4	27.5	3600	400	ja	1800
2307007	N24a	T 2022-PG-ZM4	27.5	3600	400	ja	1700
2307007	N25a	T 2022-PG-ZM4	27.5	3600	400	ja	1800
2307008	N1	T 2022-PG-ZM4	27.5	4800	360	ja	938
2307008	N2	T 2022-PG-ZM4	27.5	4800	360	ja	807
2307008	N3	T 2022-PG-ZM4	27.5	4800	360	ja	979
2307008	N4	T 2022-PG-ZM4	27.5	4800	360	ja	1160
2307008	N5	T 2022-PG-ZM4	27.5	4800	360	ja	981
2307008	N6	T 2022-PG-ZM4	27.5	4800	360	ja	1110
2307008	N7	T 2022-PG-ZM4	27.5	4800	420	ja	920
2307008	N8	T 2022-PG-ZM4	27.5	4800	420	ja	494
2307008	N9	T 2022-PG-ZM4	27.5	4800	420	ja	940
2307008	N10	T 2022-PG-ZM4	27.5	4800	420	ja	1110
2307008	N11	T 2022-PG-ZM4	27.5	4800	440	ja	845
2307008	N12	T 2022-PG-ZM4	27.5	4800	440	ja	1040
2307008	N13	T 2022-PG-ZM4	27.5	4800	440	ja	963
2307008	N14	T 2022-PG-ZM4	27.5	4800	440	ja	1340
2307009	N1	T 2022-PG-ZM4	22	4800	400	ja	276
2307009	N2	T 2022-PG-ZM4	22	4800	400	ja	278
2307009	N3	T 2022-PG-ZM4	22	4800	400	ja	186
2307009	N4	T 2022-PG-ZM4	22	4800	400	ja	914
2307009	N5	T 2022-PG-ZM4	22	4800	400	ja	214
2307009	N6	T 2022-PG-ZM4	33	4800	400	ja	1030
2307009	N7	T 2022-PG-ZM4	33	4800	400	ja	504
2307009	N8	T 2022-PG-ZM4	33	4800	400	ja	663
2307009	N9	T 2022-PG-ZM4	33	4800	400	ja	593
2307009	N10	T 2022-PG-ZM4	33	4800	400	ja	522
2307009	N11	T 2022-PG-ZM4	27.5	3000	400	nein	0
2307009	N12	T 2022-PG-ZM4	27.5	3000	400	ja	178
2307009	N13	T 2022-PG-ZM4	27.5	3000	400	nein	0
2307009	N14	T 2022-PG-ZM4	27.5	3000	400	nein	0
2307009	N15	T 2022-PG-ZM4	27.5	3000	400	ja	242
2307009	N16	T 2022-PG-ZM4	27.5	3200	400	nein	0
2307009	N17	T 2022-PG-ZM4	27.5	3200	400	nein	0
2307009	N18	T 2022-PG-ZM4	27.5	3200	400	ja	418
2307009	N19	T 2022-PG-ZM4	27.5	3200	400	ja	221
2307009	N20	T 2022-PG-ZM4	27.5	3200	400	ja	157
2307009	N21	T 2022-PG-ZM4	27.5	2800	400	ja	284
2307009	N22	T 2022-PG-ZM4	27.5	2800	400	ja	130
2307009	N23	T 2022-PG-ZM4	27.5	2800	400	ja	269
2307009	N24	T 2022-PG-ZM4	27.5	2800	400	ja	156
2307009	N25	T 2022-PG-ZM4	27.5	2800	400	ja	120
2307009	N26	T 2022-PG-ZM4	38.5	2800	380	nein	0
2307009	N27	T 2022-PG-ZM4	38.5	2800	380	nein	0
2307009	N28	T 2022-PG-ZM4	38.5	2000	340	nein	0
2307009	N29	T 2022-PG-ZM4	38.5	3200	240	ja	79.8
2307009	N30	T 2022-PG-ZM4	33	2600	380	nein	0
2307009	N31	T 2022-PG-ZM4	38.5	1400	380	nein	0
2307009	N32	T 2022-PG-ZM4	33	2000	380	ja	1010
2307009	N33	T 2022-PG-ZM4	33	2200	380	nein	0
2307009	N34	T 2022-PG-ZM4	33	2100	380	ja	180
2307009	N35	T 2022-PG-ZM4	22	4400	380	ja	484
2307009	N36	T 2022-PG-ZM4	33	3000	360	ja	790
2307009	N37	T 2022-PG-ZM4	33	3200	360	nein	0
2307009	N38	T 2022-PG-ZM4	33	4000	380	ja	670
2307009	N39	T 2022-PG-ZM4	33	4400	380	ja	92.2
2307009	N40	T 2022-PG-ZM4	33	4200	380	ja	1680
2307009	N41	T 2022-PG-ZM4	33	4200	380	ja	1740
2307009	N42	T 2022-PG-ZM4	33	4200	380	ja	866
2307009	N43	T 2022-PG-ZM4	33	4200	380	ja	1870
2307009	N44	T 2022-PG-ZM4	33	4200	380	ja	1870

