Versuchsreihe	Name Probe	Sonotrode	Amplitude	Schweißzeit	Schweißkraft	Verbund	Zugscherkraft
Name	Name	Name	µm	ms	N	ja/nein	N
PD1	1	T 2022-PG-ZM4	55	1000	50	nein	0
PD1	2	T 2022-PG-ZM4	55	1500	50	ja	0
PD1	3	T 2022-PG-ZM4	55	2000	50	nein	0
PD1	4	T 2022-PG-ZM4	55	2500	50	nein	0
PD1	5	T 2022-PG-ZM4	55	2500	75	nein	0
PD1	6	T 2022-PG-ZM4	55	1500	90	ja	0
PD1	7	T 2022-PG-ZM4	55	1500	100	nein	0
PD1	8	T 2022-PG-ZM4	55	2000	100	ja	0
PD1	9	T 2022-PG-ZM4	55	1500	175	ja	0
PD1	10	T 2022-PG-ZM4	55	2000	150	ja	0
PD2	1	T 2022-PG-ZM4	27.5	1000	200	nein	0
PD2	2	T 2022-PG-ZM4	27.5	1500	200	nein	0
PD2	3	T 2022-PG-ZM4	27.5	2000	200	ja	0
PD2	4	T 2022-PG-ZM4	27.5	1000	250	nein	0
PD2	5	T 2022-PG-ZM4	27.5	1500	250	nein	0
PD2	6	T 2022-PG-ZM4	27.5	2000	250	nein	0
PD2	7	T 2022-PG-ZM4	41.25	1000	200	ja	570
PD2	8	T 2022-PG-ZM4	41.25	1500	200	nein	0
PD2	9	T 2022-PG-ZM4	41.25	2000	200	nein	0
PD2	10	T 2022-PG-ZM4	41.25	1000	250	ja	980
PD2	11	T 2022-PG-ZM4	41.25	1500	250	nein	0
PD2	12	T 2022-PG-ZM4	41.25	2000	250	nein	0
PD2	13	T 2022-PG-ZM4	27.5	1000	300	nein	0
PD2	14	T 2022-PG-ZM4	27.5	1500	300	ja	200
PD2	15	T 2022-PG-ZM4	27.5	2000	300	ja	310
PD2	16	T 2022-PG-ZM4	41.25	1000	300	nein	0
PD2	17	T 2022-PG-ZM4	41.25	1500	300	ja	200
PD2	18	T 2022-PG-ZM4	41.25	2000	300	ja	1300
PD2	19	T 2022-PG-ZM4	27.5	2500	300	nein	0
PD2	20	T 2022-PG-ZM4	41.25	2500	300	ja	730
PD3	1	T 2022-PG-ZM4	27.5	2500	200	ja	620
PD3	2	T 2022-PG-ZM4	41.25	2500	200	ja	280
PD3	3	T 2022-PG-ZM4	27.5	2000	225	nein	0
PD3	4	T 2022-PG-ZM4	41.25	2000	225	ja	630
PD3	5	T 2022-PG-ZM4	27.5	2000	250	nein	0
PD3	6	T 2022-PG-ZM4	41.25	2000	250	ja	1310
PD3	7	T 2022-PG-ZM4	27.5	2000	275	nein	0
PD3	8	T 2022-PG-ZM4	41.25	2500	275	nein	0
PD3	9	T 2022-PG-ZM4	27.5	1500	275	nein	0
PD3	10	T 2022-PG-ZM4	41.25	1500	275	ja	1480
PD3	11	T 2022-PG-ZM4	27.5	1500	250	nein	0
PD3	12	T 2022-PG-ZM4	41.25	1500	250	nein	0
PD3	13	T 2022-PG-ZM4	27.5	1500	225	nein	0
PD3	14	T 2022-PG-ZM4	41.25	1500	225	nein	0
PD3	15	T 2022-PG-ZM4	27.5	1500	200	nein	0
PD3	16	T 2022-PG-ZM4	41.25	2000	200	nein	0
2306003	N1	T 2022-PG-ZM4	41.25	2000	150	nein	0
2306003	N2	T 2022-PG-ZM4	41.25	2000	300	nein	0
2306003	N3	T 2022-PG-ZM4	55	2000	150	nein	0
2306003	N4	T 2022-PG-ZM4	55	2000	300	nein	0
2306003	N5	T 2022-PG-ZM4	41.25	3000	150	nein	0
2306003	N6	T 2022-PG-ZM4	41.25	3000	300	ja	410
2306003	N7	T 2022-PG-ZM4	55	3000	150	ja	109
2306003	N8	T 2022-PG-ZM4	55	3000	300	nein	0
2306003	N9	T 2022-PG-ZM4	47.85	2500	150	nein	0
2306003	N10	T 2022-PG-ZM4	47.85	2500	300	nein	0
2306003	N11	T 2022-PG-ZM4	41.25	2500	225	nein	0
2306003	N12	T 2022-PG-ZM4	55	2500	225	ja	363
2306003	N13	T 2022-PG-ZM4	47.85	2000	225	ja	398
2306003	N14	T 2022-PG-ZM4	47.85	3000	225	ja	404
2306003	N15	T 2022-PG-ZM4	47.85	2500	225	nein	0
2306003	N16	T 2022-PG-ZM4	48.125	2500	225	ja	0
2306003	N17	T 2022-PG-ZM4	48.125	2500	225	ja	4
2306006	N1	T 2022-PG-ZM4	41.25	2000	200	nein	0
2306006	N2	T 2022-PG-ZM4	49.5	2000	200	nein	0
2306006	N3	T 2022-PG-ZM4	41.25	2000	280	nein	0
2306006	N4	T 2022-PG-ZM4	49.5	2000	280	ja	1114
2306006	N5	T 2022-PG-ZM4	41.25	4000	200	ja	722
2306006	N6	T 2022-PG-ZM4	49.5	4000	200	nein	0
2306006	N7	T 2022-PG-ZM4	41.25	4000	280	ja	178
2306006	N8	T 2022-PG-ZM4	49.5	4000	280	nein	0
2306006	N9	T 2022-PG-ZM4	41.25	3000	240	ja	1182
2306006	N11	T 2022-PG-ZM4	45.375	3000	200	nein	0
2306006	N12	T 2022-PG-ZM4	45.375	3000	280	ja	1246
2306006	N13	T 2022-PG-ZM4	45.375	2000	240	nein	0
2306006	N14	T 2022-PG-ZM4	45.375	4000	240	nein	0
2306006	N15	T 2022-PG-ZM4	45.375	3000	240	nein	0
2306006	N16	T 2022-PG-ZM4	45.375	3000	240	nein	0
2306006	N18	T 2022-PG-ZM4	41.25	2000	200	nein	0
2306006	N19	T 2022-PG-ZM4	49.5	2000	200	nein	0
2306006	N20	T 2022-PG-ZM4	41.25	2000	280	nein	0
2306006	N21	T 2022-PG-ZM4	49.5	2000	280	ja	1302
2306006	N23	T 2022-PG-ZM4	49.5	4000	200	nein	0
2306006	N24	T 2022-PG-ZM4	41.25	4000	280	ja	453
2306006	N25	T 2022-PG-ZM4	49.5	4000	280	nein	0
2306006	N26	T 2022-PG-ZM4	41.25	3000	240	ja	0
2306006	N27	T 2022-PG-ZM4	49.5	3000	240	nein	0
2306006	N28	T 2022-PG-ZM4	45.375	3000	200	nein	0
2306006	N29	T 2022-PG-ZM4	45.375	3000	280	nein	0
2306006	N30	T 2022-PG-ZM4	45.375	2000	240	nein	0
2306006	N31	T 2022-PG-ZM4	45.375	4000	240	ja	1295
2306006	N33	T 2022-PG-ZM4	45.375	3000	240	nein	0
2306006	N34	T 2022-PG-ZM4	45.375	3000	240	ja	1074
2306012	N1	T 2022-PG-ZM4	44	2500	220	nein	0
